ParentLocationCode,ParentLocation,SpatialCode,Location,Period,Sex,Value
AFR,Africa,LSO,Lesotho,2019,Male,47.66
AFR,Africa,CAF,Central African Republic,2019,Male,50.21
AFR,Africa,LSO,Lesotho,2019,Both sexes,50.75
AFR,Africa,CAF,Central African Republic,2019,Both sexes,53.10
AFR,Africa,SWZ,Eswatini,2019,Male,53.36
EMR,Eastern Mediterranean,SOM,Somalia,2019,Male,54.01
AFR,Africa,LSO,Lesotho,2019,Female,54.24
AFR,Africa,MOZ,Mozambique,2019,Male,54.46
WPR,Western Pacific,KIR,Kiribati,2019,Male,56.14
AFR,Africa,CAF,Central African Republic,2019,Female,56.26
EMR,Eastern Mediterranean,SOM,Somalia,2019,Both sexes,56.47
AFR,Africa,GNB,Guinea-Bissau,2019,Male,57.36
AFR,Africa,ZWE,Zimbabwe,2019,Male,57.51
AFR,Africa,SWZ,Eswatini,2019,Both sexes,57.73
AFR,Africa,TCD,Chad,2019,Male,57.95
AFR,Africa,MOZ,Mozambique,2019,Both sexes,58.14
AFR,Africa,BWA,Botswana,2019,Male,58.95
EMR,Eastern Mediterranean,SOM,Somalia,2019,Female,59.22
WPR,Western Pacific,KIR,Kiribati,2019,Both sexes,59.42
AFR,Africa,GIN,Guinea,2019,Male,59.48
AFR,Africa,ZMB,Zambia,2019,Male,59.54
AFR,Africa,TCD,Chad,2019,Both sexes,59.63
AFR,Africa,SLE,Sierra Leone,2019,Male,59.60
AFR,Africa,COD,Democratic Republic of the Congo,2019,Male,60.00
AFR,Africa,BFA,Burkina Faso,2019,Male,60.06
AFR,Africa,GNB,Guinea-Bissau,2019,Both sexes,60.22
AFR,Africa,CMR,Cameroon,2019,Male,60.29
WPR,Western Pacific,FSM,Micronesia (Federated States of),2019,Male,60.35
AFR,Africa,CIV,Côte d’Ivoire,2019,Male,60.53
AFR,Africa,NAM,Namibia,2019,Male,60.58
AFR,Africa,AGO,Angola,2019,Male,60.70
AFR,Africa,ZWE,Zimbabwe,2019,Both sexes,60.68
AFR,Africa,SLE,Sierra Leone,2019,Both sexes,60.77
AFR,Africa,SSD,South Sudan,2019,Male,60.83
AFR,Africa,GNQ,Equatorial Guinea,2019,Male,60.87
AFR,Africa,GIN,Guinea,2019,Both sexes,61.01
AFR,Africa,BEN,Benin,2019,Male,61.19
AFR,Africa,NGA,Nigeria,2019,Male,61.20
AFR,Africa,TCD,Chad,2019,Female,61.34
AFR,Africa,ERI,Eritrea,2019,Male,61.30
AFR,Africa,BDI,Burundi,2019,Male,61.55
AFR,Africa,TGO,Togo,2019,Male,61.52
AFR,Africa,MOZ,Mozambique,2019,Female,61.73
AFR,Africa,SLE,Sierra Leone,2019,Female,61.90
AFR,Africa,NER,Niger,2019,Male,62.06
